:START_ID,reward,reward_usd,:END_ID,:TYPE
679033,703685962,421381.2188,ViaBTC,REWARDED
679034,691858640,414298.7812,Unknown,REWARDED
679035,708973372,424547.4375,Binance,REWARDED
679036,691344754,413991.0625,BTC.TOP,REWARDED
679037,705930397,422725.25,AntPool,REWARDED
679038,713535534,427279.3438,Poolin,REWARDED
679039,699025009,418590.1562,Binance,REWARDED
679040,691858310,414298.5938,Huobi,REWARDED
679041,701653417,420164.0938,Binance,REWARDED
679042,682826931,408890.4375,F2Pool,REWARDED
679043,671713707,402235.5938,Unknown,REWARDED
679044,662913682,396965.9688,Unknown,REWARDED
679045,689624252,412960.7812,AntPool,REWARDED
679046,685571754,410534.0625,BTC.com,REWARDED
679047,728281194,436109.3438,F2Pool,REWARDED
679048,711702577,426181.75,Huobi,REWARDED
679049,709940167,425126.375,Poolin,REWARDED
679050,708014304,423973.125,Binance,REWARDED
679051,745330880,446319.0312,F2Pool,REWARDED
679052,703758158,421424.4688,AntPool,REWARDED
679053,706770201,423228.125,Binance,REWARDED
679054,696487104,417070.4062,Unknown,REWARDED
679055,702086532,420423.4688,ViaBTC,REWARDED
679056,710796179,425638.9688,ViaBTC,REWARDED
679057,701253912,419924.875,SlushPool,REWARDED
679058,704312378,421756.3438,Poolin,REWARDED
679059,696679530,417185.625,OKEX,REWARDED
679060,713779795,427425.625,Unknown,REWARDED
679061,719073477,430595.5938,SlushPool,REWARDED
679062,718375940,430177.875,OKKONG,REWARDED
679063,743012586,444930.7812,F2Pool,REWARDED
679064,711265945,425920.2812,SlushPool,REWARDED
679065,702931867,420929.6562,OKEX,REWARDED
679066,704198928,421688.4062,F2Pool,REWARDED
679067,748374261,448141.4688,Unknown,REWARDED
679068,711620495,426132.5938,BTC.TOP,REWARDED
679069,718827139,430448.0625,AntPool,REWARDED
679070,716647533,429142.875,Huobi,REWARDED
679071,709222516,424696.625,BTC.com,REWARDED
679072,701406590,420016.2812,AntPool,REWARDED
679073,724947881,434113.2812,F2Pool,REWARDED
679074,705488086,422460.375,BTC.com,REWARDED
679075,737424480,441584.5312,AntPool,REWARDED
679076,726696858,435160.625,AntPool,REWARDED
679077,728316055,436130.2188,Unknown,REWARDED
679078,732627808,438712.1875,Binance,REWARDED
679079,715267789,428316.6562,Unknown,REWARDED
679080,735375944,440357.8125,F2Pool,REWARDED
679081,729060406,436575.9375,AntPool,REWARDED
679082,728645193,436327.3125,Unknown,REWARDED
679083,716868101,429274.9688,Binance,REWARDED
679084,712156734,426453.6875,BTC.com,REWARDED
679085,705001188,422168.8125,AntPool,REWARDED
679086,714464176,427835.4375,Unknown,REWARDED
679087,707915115,423913.7188,F2Pool,REWARDED
679088,703016893,420980.5625,AntPool,REWARDED
679089,713410005,427204.1875,BTC.TOP,REWARDED
679090,718501671,430253.1562,BTC.com,REWARDED
679091,711765787,426219.5938,Huobi,REWARDED
679092,735556685,440466.0625,Huobi,REWARDED
679093,728317077,436130.8438,Unknown,REWARDED
679094,720119841,431222.1562,Unknown,REWARDED
679095,728060957,435977.4688,Huobi,REWARDED
679096,731487318,438029.25,AntPool,REWARDED
679097,720075583,431195.6562,Huobi,REWARDED
679098,714411720,427804.0312,F2Pool,REWARDED
679099,720360870,431366.5,Binance,REWARDED
679100,718283316,430122.4062,Unknown,REWARDED
